name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	http://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Zhanvil	Жанвиль	54.0310020318232	31.89814766822099	Russian
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	http://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Zhygalki	Жигалки	53.99736517924857	32.00736633639464	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Zilo	Зило	42.73268492716758	46.32176207184054	Russian
Spoken corpus of Abaza	Устный корпус абазинского языка	http://lingconlab.ru/spoken_abaza/	corpus	корпус	minority	малых языков	Inzhich-Chukun	Инжич-Чукун	44.04614598178472	41.781262901713475	Abaza
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Itsari	Ицари	41.99763484924097	47.58435465065718	Russian
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Kabekhabl	Кабехабль	45.047325634291006	40.18040899953169	Adyghe
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Kadnikovo	Кадниково	56.81217882581824	28.697323495689513	Russian
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Kazanovka	Казановка	53.21588574209978	90.04742874076345	Khakas
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Kalib	Калиб	42.07004342155359	46.86125184461028	Russian
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Karagay	Карагай	52.845508290571374	90.10717158242322	Khakas
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Kina	Кина	41.6166	47.2647	Russian
Dictionary of the Rutul language	Словарь рутульского языка	https://linghub.ru/rutuldict/	dictionary	словарь	dictionary	словарь	Kina	Кина	41.6186	47.2667	Rutul
